verified,id,group,start,end,name_fr,name_en,wiki_fr,wiki_en,description_fr,description_en,background,foreground,border
true,cultures:europe:erteb%c3%b8lle_culture,cultures-europe,-5300,-4000,Culture d'Ertebølle,Ertebølle culture,https://fr.wikipedia.org/wiki/Culture_d'Ertebølle,https://en.wikipedia.org/wiki/Erteb%C3%B8lle_culture,culture du Mésolithique final du sud de la Scandinavie,Archaeological culture,oklch(62.3% 0.214 259.815),,
true,cultures:europe:hamangia_culture,cultures-europe,-5250,-4500,Culture de Hamangia,Hamangia culture,https://fr.wikipedia.org/wiki/Culture_de_Hamangia,https://en.wikipedia.org/wiki/Hamangia_culture,,Late Neolithic European archaeological culture,oklch(62.3% 0.214 259.815),,
true,cultures:europe:b%c3%bckk_culture,cultures-europe,-5200,-4800,Culture de Bükk,Bükk culture,https://en.wikipedia.org/wiki/B%C3%BCkk_culture,https://en.wikipedia.org/wiki/B%C3%BCkk_culture,,Archaeological culture in Europe,oklch(62.3% 0.214 259.815),,
true,cultures:europe:g%c4%a7ar_dalam_phase,cultures-europe,-5900,-4500,Għar Dalam phase,Għar Dalam phase,https://en.wikipedia.org/wiki/G%C4%A7ar_Dalam_phase,https://en.wikipedia.org/wiki/G%C4%A7ar_Dalam_phase,,undefined,oklch(62.3% 0.214 259.815),,
true,cultures:europe:butmir_culture,cultures-europe,-5100,-4500,Culture de Butmir,Butmir culture,https://fr.wikipedia.org/wiki/Culture_de_Butmir,https://en.wikipedia.org/wiki/Butmir_culture,Culture archéologique néolithique de Bosnie-Herzégovine,"Culture in Butmir, Bosnia and Herzegovina",oklch(62.3% 0.214 259.815),,
true,cultures:europe:bonu_ighinu_culture,cultures-europe,-5100,-4500,Culture de Bonu Ighinu,Bonu Ighinu culture,https://en.wikipedia.org/wiki/Bonu_Ighinu_culture,https://en.wikipedia.org/wiki/Bonu_Ighinu_culture,,Sardinian archaeological culture,oklch(62.3% 0.214 259.815),,
true,cultures:europe:cerny_culture,cultures-europe,-4500,-4000,Culture de Cerny,Cerny culture,https://fr.wikipedia.org/wiki/Culture_de_Cerny,https://en.wikipedia.org/wiki/Cerny_culture,,Neolithic archaeological culture,oklch(62.3% 0.214 259.815),,
true,cultures:europe:dnieper%e2%80%93donets_culture,cultures-europe,-5000,-4200,Culture Dniepr-Donets,Dnieper–Donets culture,https://fr.wikipedia.org/wiki/Culture_Dniepr-Donets,https://en.wikipedia.org/wiki/Dnieper%E2%80%93Donets_culture,culture archéologique,Prehistoric culture north of the Black Sea c. 5000–4200 BCE,oklch(62.3% 0.214 259.815),,
true,cultures:europe:lengyel_culture,cultures-europe,-5000,-4000,Culture de Lengyel,Lengyel culture,https://en.wikipedia.org/wiki/Lengyel_culture,https://en.wikipedia.org/wiki/Lengyel_culture,,Central European archeological culture (c. 5000–4000 BC),oklch(62.3% 0.214 259.815),,
true,cultures:europe:mariupol_culture,cultures-europe,-5000,-4000,Culture de Mariupol,Mariupol culture,https://en.wikipedia.org/wiki/Mariupol_culture,https://en.wikipedia.org/wiki/Mariupol_culture,,Neolithic culture in southern Russia and Ukraine,oklch(62.3% 0.214 259.815),,
true,cultures:europe:hinkelstein_culture,cultures-europe,-5000,-4900,Hinkelstein culture,Hinkelstein culture,https://en.wikipedia.org/wiki/Hinkelstein_culture,https://en.wikipedia.org/wiki/Hinkelstein_culture,,undefined,oklch(62.3% 0.214 259.815),,
