id,group,type,name_fr,name_en,start,end,circa,wiki_fr,wiki_en,credits_url,credits_attribution,cover,background,foreground,border
1765209128-69,pterosaurs,range,Douzhanopterus,Douzhanopterus,-161500000,-143100000,true,https://en.wikipedia.org/wiki/Douzhanopterus,https://en.wikipedia.org/wiki/Douzhanopterus,https://www.pteros.com/pterosaurs/douzhanopterus.html,Pteros,https://pteros-img.imgix.net/douzhanopterus_joschua-knueppe.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-70,pterosaurs,range,Dsungaripterus,Dsungaripterus,-143100000,-100500000,true,https://fr.wikipedia.org/wiki/Dsungaripterus,https://en.wikipedia.org/wiki/Dsungaripterus,https://www.pteros.com/pterosaurs/dsungaripterus.html,Pteros,https://pteros-img.imgix.net/dsungaripterus-weii_julio-lacerda.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-71,pterosaurs,range,Elanodactylus,Elanodactylus,-143100000,-100500000,true,https://fr.wikipedia.org/wiki/Elanodactylus,https://en.wikipedia.org/wiki/Elanodactylus,https://www.pteros.com/pterosaurs/elanodactylus.html,Pteros,https://pteros-img.imgix.net/elanodactylus_vitor-silva.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-72,pterosaurs,range,Eoazhdarcho,Eoazhdarcho,-143100000,-100500000,true,https://fr.wikipedia.org/wiki/Eoazhdarcho,https://en.wikipedia.org/wiki/Eoazhdarcho,https://www.pteros.com/pterosaurs/eoazhdarcho.html,Pteros,https://pteros-img.imgix.net/eoazhdarcho_vitor-silva.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-73,pterosaurs,range,Eopteranodon,Eopteranodon,-143100000,-100500000,true,https://fr.wikipedia.org/wiki/Eopteranodon,https://en.wikipedia.org/wiki/Eopteranodon,https://www.pteros.com/pterosaurs/eopteranodon.html,Pteros,https://pteros-img.imgix.net/eopteranodon_franz-anthony.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-74,pterosaurs,range,Eosipterus,Eosipterus,-143100000,-100500000,true,https://fr.wikipedia.org/wiki/Eosipterus,https://en.wikipedia.org/wiki/Eosipterus,https://www.pteros.com/pterosaurs/eosipterus.html,Pteros,https://pteros-img.imgix.net/eosipterus_midiaou-diallo.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-75,pterosaurs,range,Eudimorphodon,Eudimorphodon,-237000000,-201400000,true,https://fr.wikipedia.org/wiki/Eudimorphodon,https://en.wikipedia.org/wiki/Eudimorphodon,https://www.pteros.com/pterosaurs/eudimorphodon.html,Pteros,https://pteros-img.imgix.net/eudimorphodon_vitor-silva.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-76,pterosaurs,range,Eurazhdarcho,Eurazhdarcho,-100500000,-66000000,true,https://fr.wikipedia.org/wiki/Eurazhdarcho,https://en.wikipedia.org/wiki/Eurazhdarcho,https://www.pteros.com/pterosaurs/eurazhdarcho.html,Pteros,https://pteros-img.imgix.net/eurazhdarcho_chris-masnaghetti.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-77,pterosaurs,range,Eurolimnornis,Eurolimnornis,-143100000,-100500000,true,https://en.wikipedia.org/wiki/Eurolimnornis,https://en.wikipedia.org/wiki/Eurolimnornis,https://www.pteros.com/pterosaurs/eurolimnornis.html,Pteros,https://pteros-img.imgix.net/eurolimnornis_julio-lacerda.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-78,pterosaurs,range,Europejara,Europejara,-143100000,-100500000,true,https://fr.wikipedia.org/wiki/Europejara,https://en.wikipedia.org/wiki/Europejara,https://www.pteros.com/pterosaurs/europejara.html,Pteros,https://pteros-img.imgix.net/europejara_vitor-silva.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-79,pterosaurs,range,Faxinalipterus,Faxinalipterus,-237000000,-201400000,true,https://en.wikipedia.org/wiki/Faxinalipterus,https://en.wikipedia.org/wiki/Faxinalipterus,https://www.pteros.com/pterosaurs/faxinalipterus.html,Pteros,https://pteros-img.imgix.net/faxinalipterus_vitor-silva.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-80,pterosaurs,range,Feilongus,Feilongus,-143100000,-100500000,true,https://fr.wikipedia.org/wiki/Feilongus,https://en.wikipedia.org/wiki/Feilongus,https://www.pteros.com/pterosaurs/feilongus.html,Pteros,https://pteros-img.imgix.net/feilongus_joschua-knueppe.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-81,pterosaurs,range,Fenghuangopterus,Fenghuangopterus,-174700000,-161500000,true,https://fr.wikipedia.org/wiki/Fenghuangopterus,https://en.wikipedia.org/wiki/Fenghuangopterus,https://www.pteros.com/pterosaurs/fenghuangopterus.html,Pteros,https://pteros-img.imgix.net/fenghuangopterus_franz-anthony.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-82,pterosaurs,range,Ferrodraco,Ferrodraco,-100500000,-66000000,true,https://fr.wikipedia.org/wiki/Ferrodraco,https://en.wikipedia.org/wiki/Ferrodraco,https://www.pteros.com/pterosaurs/ferrodraco.html,Pteros,https://pteros-img.imgix.net/ferrodraco_joshua-tedder.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-83,pterosaurs,range,Forfexopterus,Forfexopterus,-143100000,-100500000,true,https://fr.wikipedia.org/wiki/Forfexopterus,https://en.wikipedia.org/wiki/Forfexopterus,https://www.pteros.com/pterosaurs/forfexopterus.html,Pteros,https://pteros-img.imgix.net/forfexopterus_joschua-knueppe.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-84,pterosaurs,range,Gegepterus,Gegepterus,-143100000,-100500000,true,https://fr.wikipedia.org/wiki/Gegepterus,https://en.wikipedia.org/wiki/Gegepterus,https://www.pteros.com/pterosaurs/gegepterus.html,Pteros,https://pteros-img.imgix.net/gegepterus_joschua-knueppe.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-85,pterosaurs,range,Geosternbergia,Geosternbergia,-100500000,-66000000,true,https://fr.wikipedia.org/wiki/Geosternbergia,https://en.wikipedia.org/wiki/Geosternbergia,https://www.pteros.com/pterosaurs/geosternbergia.html,Pteros,https://pteros-img.imgix.net/geosternbergia_fabrizio-de-rossi.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-86,pterosaurs,range,Germanodactylus,Germanodactylus,-161500000,-143100000,true,https://fr.wikipedia.org/wiki/Germanodactylus,https://en.wikipedia.org/wiki/Germanodactylus,https://www.pteros.com/pterosaurs/germanodactylus.html,Pteros,https://pteros-img.imgix.net/germanodactylus-cristatus_julio-lacerda.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-87,pterosaurs,range,Gladocephaloideus,Gladocephaloideus,-143100000,-100500000,true,https://fr.wikipedia.org/wiki/Gladocephaloideus,https://en.wikipedia.org/wiki/Gladocephaloideus,https://www.pteros.com/pterosaurs/gladocephaloideus.html,Pteros,https://pteros-img.imgix.net/gladocephaloideus_joschua-knueppe.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-88,pterosaurs,range,Gnathosaurus,Gnathosaurus,-161500000,-143100000,true,https://fr.wikipedia.org/wiki/Gnathosaurus,https://en.wikipedia.org/wiki/Gnathosaurus,https://www.pteros.com/pterosaurs/gnathosaurus.html,Pteros,https://pteros-img.imgix.net/gnathosaurus_joschua-knueppe.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-89,pterosaurs,range,Guidraco,Guidraco,-143100000,-100500000,true,https://fr.wikipedia.org/wiki/Guidraco,https://en.wikipedia.org/wiki/Guidraco,https://www.pteros.com/pterosaurs/guidraco.html,Pteros,https://pteros-img.imgix.net/guidraco-venator_julio-lacerda.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-90,pterosaurs,range,Hamipterus,Hamipterus,-143100000,-100500000,true,https://fr.wikipedia.org/wiki/Hamipterus,https://en.wikipedia.org/wiki/Hamipterus,https://www.pteros.com/pterosaurs/hamipterus.html,Pteros,https://pteros-img.imgix.net/hamipterus_oliver-demuth.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
