id,group,start,end,name_fr,name_en,wiki_fr,wiki_en,description_fr,description_en,type,background,foreground,border
ischart:Orosirian,geology-period,-2050000000,-1800000000,Orosirien,Orosirian,https://fr.wikipedia.org/wiki/Orosirien,https://en.wikipedia.org/wiki/Orosirian,A time period from 2050 to 1800 million years ago,A time period from 2050 to 1800 million years ago,,#F76898,#000,#000
ischart:Statherian,geology-period,-1800000000,-1600000000,Stathérien,Statherian,https://fr.wikipedia.org/wiki/Stathérien,https://en.wikipedia.org/wiki/Statherian,A time period from 1800 to 1600 million years ago,A time period from 1800 to 1600 million years ago,,#F875A7,#000,#000
ischart:Calymmian,geology-period,-1600000000,-1400000000,Calymmien,Calymmian,https://fr.wikipedia.org/wiki/Calymmien,https://en.wikipedia.org/wiki/Calymmian,A time period from 1600 to 1400 million years ago,A time period from 1600 to 1400 million years ago,,#FDC07A,#000,#000
ischart:Mesoproterozoic,geology-era,-1600000000,-1000000000,Mésoprotérozoïque,Mesoproterozoic,https://fr.wikipedia.org/wiki/Mésoprotérozoïque,https://en.wikipedia.org/wiki/Mesoproterozoic,A time period from 1600 to 1000 million years ago,A time period from 1600 to 1000 million years ago,,#FDB462,#000,#000
ischart:Ectasian,geology-period,-1400000000,-1200000000,Ectasien,Ectasian,https://fr.wikipedia.org/wiki/Ectasien,https://en.wikipedia.org/wiki/Ectasian,A time period from 1400 to 1200 million years ago,A time period from 1400 to 1200 million years ago,,#FDCC8A,#000,#000
ischart:Stenian,geology-period,-1200000000,-1000000000,Sténien,Stenian,https://fr.wikipedia.org/wiki/Sténien,https://en.wikipedia.org/wiki/Stenian,A time period from 1200 to 1000 million years ago,A time period from 1200 to 1000 million years ago,,#FED99A,#000,#000
ischart:Tonian,geology-period,-1000000000,-720000000,Tonien,Tonian,https://fr.wikipedia.org/wiki/Tonien,https://en.wikipedia.org/wiki/Tonian,A time period from 1000 to 720 million years ago,A time period from 1000 to 720 million years ago,,#FEBF4E,#000,#000
ischart:Neoproterozoic,geology-era,-1000000000,-538800000,Néoprotérozoïque,Neoproterozoic,https://fr.wikipedia.org/wiki/Néoprotérozoïque,https://en.wikipedia.org/wiki/Neoproterozoic,A time period from 1000 to 538.8 million years ago,A time period from 1000 to 538.8 million years ago,,#FEB342,#000,#000
ischart:Cryogenian,geology-period,-720000000,-635000000,Cryogénien,Cryogenian,https://fr.wikipedia.org/wiki/Cryogénien,https://en.wikipedia.org/wiki/Cryogenian,A time period from 720 to 635 million years ago,A time period from 720 to 635 million years ago,,#FECC5C,#000,#000
ischart:Ediacaran,geology-period,-635000000,-538800000,Ediacarien,Ediacaran,https://fr.wikipedia.org/wiki/Édiacarien,https://en.wikipedia.org/wiki/Ediacaran,A time period from 635 to 538.8 million years ago,A time period from 635 to 538.8 million years ago,,#FED96A,#000,#000
ischart:Phanerozoic,geology-eon,-538800000,0,Phanérozoïque,Phanerozoic,https://fr.wikipedia.org/wiki/Phanérozoïque,https://en.wikipedia.org/wiki/Phanerozoic,A time period from 538.8 million years ago to the present,A time period from 538.8 million years ago to the present,,#9AD9DD,#000,#000
ischart:Paleozoic,geology-era,-538800000,-251902000,Paléozoïque,Paleozoic,https://fr.wikipedia.org/wiki/Paléozoïque,https://en.wikipedia.org/wiki/Paleozoic,A time period from 251.902 to 538.8 million years ago,A time period from 251.902 to 538.8 million years ago,,#99C08D,#000,#000
ischart:Fortunian,geology-age,-538800000,-529000000,Fortunien,Fortunian,https://fr.wikipedia.org/wiki/Fortunien,https://en.wikipedia.org/wiki/Fortunian,A time period from 538.8 to 529.0 million years ago,A time period from 538.8 to 529.0 million years ago,,#99B575,#000,#000
ischart:Terreneuvian,geology-epoch,-538800000,-521000000,Terreneuvien,Terreneuvian,https://fr.wikipedia.org/wiki/Terreneuvien,https://en.wikipedia.org/wiki/Terreneuvian,A time period from 538.8 to 521.0 million years ago,A time period from 538.8 to 521.0 million years ago,,#8CB06C,#000,#000
ischart:Cambrian,geology-period,-538800000,-486850000,Cambrien,Cambrian,https://fr.wikipedia.org/wiki/Cambrien,https://en.wikipedia.org/wiki/Cambrian,A time period from 538.8 to 486.85 million years ago,A time period from 538.8 to 486.85 million years ago,,#7FA056,#000,#000
ischart:CambrianStage2,geology-age,-529000000,-521000000,Étage 2,Stage 2,https://fr.wikipedia.org/wiki/Étage_2,https://en.wikipedia.org/wiki/Cambrian_Stage_2,A time period from 529.0 to 521.0 million years ago,A time period from 529.0 to 521.0 million years ago,,#A6BA80,#000,#000
ischart:CambrianStage3,geology-age,-521000000,-514500000,Étage 3,Stage 3,https://fr.wikipedia.org/wiki/Étage_3,https://en.wikipedia.org/wiki/Cambrian_Stage_3,A time period from 521.0 to 514.5 million years ago,A time period from 521.0 to 514.5 million years ago,,#A6C583,#000,#000
ischart:CambrianSeries2,geology-epoch,-521000000,-506500000,Séries 2,Series 2,https://fr.wikipedia.org/wiki/Cambrien_inférieur,https://en.wikipedia.org/wiki/Cambrian_Series_2,A time period from 521.0 to 506.5 million years ago,A time period from 521.0 to 506.5 million years ago,,#99C078,#000,#000
ischart:CambrianStage4,geology-age,-514500000,-506500000,Étage 4,Stage 4,https://fr.wikipedia.org/wiki/Étage_4,https://en.wikipedia.org/wiki/Cambrian_Stage_4,A time period from 514.5 to 506.5 million years ago,A time period from 514.5 to 506.5 million years ago,,#B3CA8E,#000,#000
ischart:Wuliuan,geology-age,-506500000,-504500000,Wuliuen,Wuliuan,https://fr.wikipedia.org/wiki/Wuliuen,https://en.wikipedia.org/wiki/Wuliuan,A time period from 506.5 to 504.5 million years ago,A time period from 506.5 to 504.5 million years ago,,#B3D492,#000,#000
ischart:Miaolingian,geology-epoch,-506500000,-497000000,Miaolingien,Miaolingian,https://fr.wikipedia.org/wiki/Miaolingien,https://en.wikipedia.org/wiki/Miaolingian,A time period from 506.5 to 497.0 million years ago,A time period from 506.5 to 497.0 million years ago,,#A6CF86,#000,#000
